rewards-leaderboard-season-9
Rank;Trader;Estimated Rewards
90;dydx1u5fa8fyn4ql080rfl6t2vhw5sa4qzel83qc84s;1600.3595931909206
91;dydx1rdh0tkmnc24uzx7ek94g9qzg02jnpjp8w3wwm2;1561.883153860912
92;dydx1qdw6farnq5nmdecj75f90gx25fwul3q6py3e4w;1529.4654801098357
93;dydx1lykncm3wpdu6d4kjgxtkceque6rr2g30wezuem;1512.4165100574226
94;dydx1trem6vl83mr7vqltfpunuuhv8u5xha3chsa3yy;1503.3115393034357
95;dydx14s79gcq55jsnex3tngjmgceka0yenh2fgrwqv2;1484.8689177060753
96;dydx1aqahwzzzlzuzwzznp6kjjffauyudtka7zxztft;1449.3589188078556
97;dydx17xussgte4dv5ta890m29cs0qj3nxzmynq8gla0;1413.4672441933665
98;dydx1gatg7m75fx6x0kqqx4yng0gtexd7q2vrxg9xwy;1399.7578625848776
99;dydx1sxx63srcn4mjm56k44wqa3ataslm3zasv6m6nt;1326.606694921196
100;dydx19nguaevz6768uyk3z4jrge4utwms93a0y77jxf;1313.04830892232
101;dydx1jv7n7x593xqws77ryvtm35htegkq03rata32p0;1299.0814604014624
102;dydx1d4f8grqaq8dpq05wvzxksl55w93nd2xdzyrg0n;1297.480415585794
103;dydx1yw86f03mtg0n2du2cdc8wqfh8er9wpc5e6jgng;1288.4588052230338
104;dydx1c5sprm6rz2usnj2lrs90tpczy4n88hlz6clau8;1265.9921412160152
105;dydx1fs456vxznh5ajpqwa59x4etzv0tq6eg6asq0ls;1258.8078483198778
106;dydx1z4mt7c4q0drw5lwfywejhxkmx3ftfnh6dexjzd;1255.2543944389022
107;dydx124pfc3q66llwul3kpg047a99xjljl4w6mgvs70;1243.8993690418688
108;dydx1psmqc6srxwzqva6s7xccyqr44hmvjsc9hgm0qg;1243.7565492875774
109;dydx1aefv7nhssjhnvkfpwky4d8l0n86rppqpp9xrvp;1214.0846666392056
110;dydx132wcfem8ts4nlrvf3janvug353ru25ym8vs4ld;1208.1022399071994
111;dydx1s9kstzgzquzlvlrys8dceeyshmqcs60z6kaf3k;1204.2175450595957
112;dydx1qnj987vav7wt2y22t5cnq7vxfskpa5jh7n4r8q;1201.768436579983
113;dydx19xctgr6gza388q4j5ruf7mj40cuf0smef0xr0u;1184.728515832138
114;dydx12p4z697emcxra05tu0t27ayj33y5tcpx2zq68n;1179.9636588323535
115;dydx1h6cca7y3lwe4hpv6ua645tergj0ffsaf9x0zpp;1164.568492399254
116;dydx1crd8qyvxfl3c5qrn7ul9teppp92yycc65z5udw;1129.342657713715
117;dydx1chtyh5s6degfrzdwgppaehyqz23sex9xxtsqyp;1121.0587817207677
118;dydx18zswqnds6ctwhm05vf2nfv3edw0kdkwf8u4fdh;1107.515099298618
119;dydx13d5lf8a4eu55afan3t96k5l0tujpehftyqf80s;1100.1875144300452
120;dydx1d9mj9q7wcxqld2v9cm07dhgqyau5tdej6j9kwq;1095.8107713625361
121;dydx1wvg5l490ce2wckt74cvxlskkwsrdje8sz20292;1080.6248562088035
122;dydx1f776e0763cslcz8k6shxt8k6xnpm8x4gf7f83l;1072.8893304186834
123;dydx1r9dnrhek4gneng3kkd2uh8nek3kth34yxmew9k;1068.3619096400519
124;dydx174h9tagh3zk47u3qa07v6klu6gzl25nu5uycrx;1067.5466882850806
125;dydx1aj23jkefl0tmnh85rwt5t7wwnr0fe269jdnaha;1066.2528136562569
126;dydx1z36v0vt5yrhdrapaqgf3944zckjp9vmkpqqpcn;1037.4391026092314
127;dydx1pmdmsq3hn2t6hurrnchcdxllka4awcaht8vhsj;1027.431722981602
128;dydx1xs9u8fa4ylz4y7khyuskwccdwmw2qy5rqs5ugg;1022.694998454921
129;dydx1k9a76t62p6dv0wrkc4fg8vkrjtkv6ssfjg5l5e;975.7499841097052
